Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10uF,
"C10, C11, C13, C14, C4, C5, C6, C7, C8, C9",0603,10,0.1uF,
C12,0603,1,1uF,
"C15, C16, C17, C18, C27, C28, C29, C30, C31, C32",C_Disc_D5.0mm_W2.5mm_P5.00mm,10,0.1uF,
"C19, C20, C23, C24",CP_Radial_D6.3mm_P2.50mm,4,150uF,
"C2, C3",0805,2,1uF,
"C21, C22, C25, C26",CP_Radial_D5.0mm_P2.00mm,4,10uF,
"C33, C34",0603,2,22pF,
"C35, C36",C_Disc_D5.0mm_W2.5mm_P5.00mm,2,1uF,
"C37, C38, C39",0603,3,4.7nF,
J1,USB3_A_Molex_48406-0001_Horizontal_Stacked,1,USB3_A_Stacked,
"J3, J4",USB_C_Receptacle_Molex_105450-0101,2,USB_C_Receptacle,
J5,USB_C_Receptacle_Molex_105450-0101,1,USB C UPSTREAM,
"R1, R10, R2, R3, R4, R9",0603,6,5.1k,
R11,0603,1,90.9K,
"R12, R14, R5, R6, R7, R8",0603,6,10K,
R13,0603,1,9.53k,
"R15, R16, R17",0603,3,1M,
U1,SOT-23-5_HandSoldering,1,TPAP2112K-1.2TRG1,C49451994
U2,QFN-64-1EP_9x9mm_P0.5mm_EP6x6mm_ThermalVias,1,TUSB8041,
U6,SOT-223,1,AMS1117-3.3,C6186
"USB-A1, USB-A2, USB-C1, USB-C2",SOT-23-5_HandSoldering,4,TPS2041B,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
